Input[0]: 0x000A0005000AA000
Probability: 2^(-29.130439289583578)
#Trails: {48: 2400, 49: 20872, 50: 10656, 51: 32128, 52: 25488, 44: 26432, 45: 0, 46: 8736, 47: 0}

Input[1]: 0x000A000D000AA000
Probability: 2^(-29.130439289583578)
#Trails: {48: 2400, 49: 20872, 50: 10656, 51: 32128, 52: 25488, 44: 26432, 45: 0, 46: 8736, 47: 0}

Input[2]: 0x000A0007000AA000
Probability: 2^(-30.61607637732009)
#Trails: {48: 19968, 49: 57120, 50: 46656, 51: 109280, 52: 78304, 44: 3168, 45: 0, 46: 9824, 47: 1152}

Input[3]: 0x000A000F000AA000
Probability: 2^(-28.718219356206)
#Trails: {48: 14560, 49: 31488, 50: 43840, 51: 64528, 52: 78016, 44: 31872, 45: 0, 46: 17728, 47: 1152}

Input[4]: 0x00050005000AA000
Probability: 2^(-28.70469516336651)
#Trails: {48: 17520, 49: 45368, 50: 51584, 51: 98448, 52: 115504, 44: 31552, 45: 0, 46: 16480, 47: 0}

Input[5]: 0x0005000D000AA000
Probability: 2^(-28.735078688453246)
#Trails: {48: 15216, 49: 41656, 50: 40576, 51: 70272, 52: 67920, 44: 31552, 45: 0, 46: 16480, 47: 0}

Input[6]: 0x00050007000AA000
Probability: 0
#Trails: {48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 44: 0, 45: 0, 46: 0, 47: 0}

Input[7]: 0x0005000F000AA000
Probability: 2^(-29.130439289583578)
#Trails: {48: 2400, 49: 20872, 50: 10656, 51: 32128, 52: 25488, 44: 26432, 45: 0, 46: 8736, 47: 0}

Input[8]: 0x000D0005000AA000
Probability: 2^(-28.735078688453246)
#Trails: {48: 15216, 49: 41656, 50: 40576, 51: 70272, 52: 67920, 44: 31552, 45: 0, 46: 16480, 47: 0}

Input[9]: 0x000D000D000AA000
Probability: 2^(-28.677895805626196)
#Trails: {48: 15216, 49: 57400, 50: 59136, 51: 126656, 52: 162496, 44: 31552, 45: 0, 46: 16480, 47: 0}

Input[10]: 0x000D0007000AA000
Probability: 2^(-33.36343201903553)
#Trails: {48: 0, 49: 15744, 50: 18560, 51: 56384, 52: 94576, 44: 0, 45: 0, 46: 0, 47: 0}

Input[11]: 0x000D000F000AA000
Probability: 2^(-29.055688285646188)
#Trails: {48: 2400, 49: 36616, 50: 29216, 51: 88512, 52: 120064, 44: 26432, 45: 0, 46: 8736, 47: 0}

Input[12]: 0x00070005000AA000
Probability: 0
#Trails: {48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 44: 0, 45: 0, 46: 0, 47: 0}

Input[13]: 0x0007000D000AA000
Probability: 2^(-33.36343201903553)
#Trails: {48: 0, 49: 15744, 50: 18560, 51: 56384, 52: 94576, 44: 0, 45: 0, 46: 0, 47: 0}

Input[14]: 0x00070007000AA000
Probability: 2^(-30.41579350374887)
#Trails: {48: 19968, 49: 72864, 50: 65216, 51: 165664, 52: 172880, 44: 3168, 45: 0, 46: 9824, 47: 1152}

Input[15]: 0x0007000F000AA000
Probability: 2^(-33.36343201903553)
#Trails: {48: 0, 49: 15744, 50: 18560, 51: 56384, 52: 94576, 44: 0, 45: 0, 46: 0, 47: 0}

Input[16]: 0x000F0005000AA000
Probability: 2^(-29.130439289583578)
#Trails: {48: 2400, 49: 20872, 50: 10656, 51: 32128, 52: 25488, 44: 26432, 45: 0, 46: 8736, 47: 0}

Input[17]: 0x000F000D000AA000
Probability: 2^(-29.055688285646188)
#Trails: {48: 2400, 49: 36616, 50: 29216, 51: 88512, 52: 120064, 44: 26432, 45: 0, 46: 8736, 47: 0}

Input[18]: 0x000F0007000AA000
Probability: 2^(-33.36343201903553)
#Trails: {48: 0, 49: 15744, 50: 18560, 51: 56384, 52: 94576, 44: 0, 45: 0, 46: 0, 47: 0}

Input[19]: 0x000F000F000AA000
Probability: 2^(-28.661687976303366)
#Trails: {48: 14560, 49: 47232, 50: 62400, 51: 120912, 52: 172592, 44: 31872, 45: 0, 46: 17728, 47: 1152}

Input[20]: 0x000A000A00055000
Probability: 2^(-29.799412651379672)
#Trails: {48: 40864, 49: 33776, 50: 186864, 51: 170432, 52: 415536, 44: 5416, 45: 0, 46: 15712, 47: 0}

Input[21]: 0x000A000D00055000
Probability: 2^(-31.759618582613037)
#Trails: {48: 1728, 49: 5424, 50: 16224, 51: 15328, 52: 76768, 44: 2920, 45: 0, 46: 3872, 47: 0}

Input[22]: 0x000A000700055000
Probability: 2^(-30.585917664521197)
#Trails: {48: 33504, 49: 17088, 50: 127552, 51: 112800, 52: 244016, 44: 1920, 45: 0, 46: 10160, 47: 0}

Input[23]: 0x000A000F00055000
Probability: 2^(-31.050082120796937)
#Trails: {48: 7360, 49: 16688, 50: 59312, 51: 57632, 52: 171520, 44: 3496, 45: 0, 46: 5552, 47: 0}

Input[24]: 0x0005000A00055000
Probability: 2^(-31.759618582613037)
#Trails: {48: 1728, 49: 5424, 50: 16224, 51: 15328, 52: 76768, 44: 2920, 45: 0, 46: 3872, 47: 0}

Input[25]: 0x0005000D00055000
Probability: 2^(-31.25209550854049)
#Trails: {48: 3712, 49: 11504, 50: 39696, 51: 36192, 52: 149536, 44: 3496, 45: 0, 46: 5216, 47: 0}

Input[26]: 0x0005000700055000
Probability: 0
#Trails: {48: 0, 49: 0, 50: 0, 51: 0, 52: 0, 44: 0, 45: 0, 46: 0, 47: 0}

Input[27]: 0x0005000F00055000
Probability: 2^(-31.759618582613037)
